URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/sid/cvx,20250715,active,,CVX,CVX - US Vaccine Codes,"CVX Codes for vaccines","ValueSet/imm-vs"
http://id.who.int/icd/release/11/mms,2026-01,active,,ICD-11 MMS,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/immunization-status-reason"
http://loinc.org,2.82,active,,LOINC,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/heart-rate-loinc,ValueSet/fiji-evidence-vs,ValueSet/fiji-vital-body-weight-vs,ValueSet/obs-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/fiji-evidence-vs,ValueSet/encounter-reason,ValueSet/fiji-body-site-vs,ValueSet/fiji-condition-code-vs,ValueSet/fiji-allergy-agent-vs,ValueSet/fiji-radiology-findings-vs,ValueSet/fiji-vital-method-vs,ValueSet/fiji-medication-route-vs"
http://terminology.hl7.org/CodeSystem/data-absent-reason,2.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/v2-0074,3.0.0,active,"2.16.840.1.113883.18.29",DiagnosticServiceSectionId,diagnosticServiceSectionId,"HL7-defined code system of concepts which specify a section of a diagnostic service where the observation may be performed.  Used in HL7 Version 2.x messaging in the OBR and OM4 segments.","ValueSet/diagnostic-service-sections"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,4.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation,ValueSet/fiji-obs-interpretation-vs"
https://core.fhir.health.gov.fj/CodeSystem/fiji-division-cs,0.2.0,draft,,FijiDivisionCS,Health administrative division codes in Fiji,"Health administrative division codes in Fiji","ValueSet/fiji-division-vs"
https://core.fhir.health.gov.fj/CodeSystem/fiji-medical-area-cs,0.2.0,draft,,FijiMedicalAreaCS,Health administrative medical area codes in Fiji,"Health administrative medical area codes in Fiji","ValueSet/fiji-medical-area-vs"
https://core.fhir.health.gov.fj/CodeSystem/fiji-nursing-zone-cs,0.2.0,draft,,FijiNursingZoneCS,Health administrative nursing zone codes in Fiji,"Health administrative nursing zone codes in Fiji","ValueSet/fiji-nursing-zone-vs"
https://core.fhir.health.gov.fj/CodeSystem/fiji-obs-interpretation-cs,0.2.0,draft,,FijiObsInterpretationCS,Observation interpretation local codes in Fiji,"Observation interpretation local codes in Fiji","ValueSet/fiji-obs-interpretation-vs"
https://core.fhir.health.gov.fj/CodeSystem/fiji-sub-division-cs,0.2.0,draft,,FijiSubDivisionCS,Health administrative sub-division codes in Fiji,"Health administrative sub division codes in Fiji","ValueSet/fiji-sub-division-vs"
