Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-health-gov-fhir-fj-core.json	18255	-	0	0	0	0	0	0	38	178	0	0	0	0	0	0	0	0	0	0	0	162	193	0	0	0	6	0	2
fsh-generated/resources/NamingSystem-FijiOrganizationIdentifier.json	471	2	11	0	1	0	0	0	1	6	4641	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-FijiPatientIdentifier.json	451	1	4	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-FijiPractitionerRegistration.json	492	1	3	0	0	0	0	0	0	3	23	0	0	0	1	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Organization-FijiHospitalExample.json	611	2	0	0	1	0	0	0	1	289	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/Patient-FijiPatientExample1.json	825	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Patient-FijiPatientExample2.json	837	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Patient-FijiPatientFijiITaukei.json	875	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Patient-FijiPatientFijiIndo.json	650	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-FijiPractitionerRoleExample.json	610	1	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-birthdate-estimated-indicator.json	1681	3	0	10	0	0	0	0	0	447	0	0	0	0	0	1	0	0	0	0	0	42	646	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fiji-address-island.json	1427	2	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	36	191	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-fiji-address-village.json	1431	2	0	8	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	33	159	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fiji-address.json	6647	3	0	22	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	88	287	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-fiji-allergy-intolerance.json	1662	2	0	32	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	127	397	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-fiji-clan-affiliation.json	1741	2	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	43	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fiji-condition.json	1361	1	0	33	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	115	1453	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-fiji-encounter.json	1018	2	0	51	0	0	0	0	0	19	0	0	0	0	1	0	0	1	0	0	0	163	523	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fiji-humanname.json	4022	2	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	54	177	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fiji-immunization.json	4009	2	0	44	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	1	0	156	499	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fiji-observation.json	1314	2	0	42	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	0	142	946	0	0	0	9	0	0
